"date","title_web","url_cursos_web"
"2022-09-17","Vim, aumenta tu velocidad de desarrollo","https://www.udemy.com/course/vim-aumenta-tu-velocidad-de-desarrollo/"
"2022-09-17","Introducción a HTML","https://www.udemy.com/course/introduccion-a-html/"
"2022-09-17","Curso de WordPress | Desde 0 - Principiantes| 2021","https://www.udemy.com/course/curso-de-wordpress-novatos-2017/"
"2022-09-17","Introducción a Crear Páginas Web desde Cero en HTML 5","https://www.udemy.com/course/introduccion-a-crear-paginas-web-desde-cero-en-html-5/"
"2022-09-17","Introducción a Wordpress 2022 para crear sitios web","https://www.udemy.com/course/curso-wordpress-desde-cero/"
"2022-09-17","HTML5 desde cero para principiantes + Ejemplos","https://www.udemy.com/course/html5-desde-cero-para-principiantes-ejemplos/"
"2022-09-17","Wget Mágico","https://www.udemy.com/course/wget-magico/"
"2022-09-17","HTML 5 desde cero en (Bandeja de plata).","https://www.udemy.com/course/html-5-desde-cero-en-bandeja-de-plata/"
"2022-09-17","HTML5 para NOVATOS: Introducción al DISEÑO WEB MODERNO 2022","https://www.udemy.com/course/html5-para-novatos-introduccion-al-diseno-web-moderno/"
"2022-09-17","Lo que hacen los mejores profesores","https://www.udemy.com/course/lo-que-hacen-los-mejores-profesores/"
"2022-09-17","Programador web: Cookies y Sesiones en PHP","https://www.udemy.com/course/programador-web-php-cookies-y-sesiones/"
"2022-09-17","Educación para el 2020","https://www.udemy.com/course/educacion-para-el-2020/"
"2022-09-17","Bienestar Emocional y Financiero en la Empresa Familiar","https://www.udemy.com/course/bienestar-emocional-y-financiero-en-la-empresa-familiar/"
"2022-09-17","Crear una Página Web Desde Cero 2020","https://www.udemy.com/course/crear-una-pagina-web-desde-cero-2020/"
"2022-09-17","Figma tutorial - Diseña una página web con Figma 2022","https://www.udemy.com/course/disena-una-increible-pagina-web-con-figma/"
"2022-09-17","Desarrollador web: Programación estructural en PHP","https://www.udemy.com/course/php-mczy/"
"2022-09-17","Python | Introducción a la Programación","https://www.udemy.com/course/python-introduccion-a-la-programacion/"
"2022-09-17","Objetivos de Desarrollo Sostenible","https://www.udemy.com/course/objetivos-de-desarrollo-sostenible/"
"2022-09-17","HTML Essentials: Crea tu página web con HTML","https://www.udemy.com/course/html-essentials-crea-tu-pagina-web-con-html/"
"2022-09-17","Wordpress: Crea una página web desde cero -2022 Curso básico","https://www.udemy.com/course/wordpress-crea-una-pagina-web-desde-cero-curso-basico/"
"2022-09-17","Curso de Google Sites: Crea tu Sitio Web en Minutos","https://www.udemy.com/course/miwebcongoogle/"
"2022-09-17","Red Hat OpenShift 4 para principiantes","https://www.udemy.com/course/red-hat-openshift-4-para-principiantes/"
"2022-09-17","Curso iOS 12 y Swift 4 - Crea 3 Aplicaciones Geniales ","https://www.udemy.com/course/curso-ios-11-y-swift-4-crea-3-aplicaciones-geniales/"
"2022-09-17","Master en Vesta Panel - ¡Monta tu Propio Web Hosting Ahora!","https://www.udemy.com/course/master-en-vesta/"
"2022-09-17","PNL y Desarrollo Personal","https://www.udemy.com/course/pnl-gratis/"
"2022-09-17","Wordpress con elementor: Tu primer sitio web","https://www.udemy.com/course/wordpress-con-elementor-2021/"
"2022-09-17","Crea una pagina web [ADAPTABLE A DISPOSITIVOS] en HTML  CSS","https://www.udemy.com/course/crea-una-pagina-web/"
"2022-09-17","Hábitos y técnicas de estudio para estudiantes de secundaria","https://www.udemy.com/course/habitos-y-tecnicas-de-estudio-para-estudiantes-de-secundaria/"
