"date","title_r","url_cursos_r"
"2022-09-17","R. Curso de introducción a R. Aprende desde cero.","https://www.udemy.com/course/curso-de-introduccion-a-r/"
"2022-09-17","Introducción al Data Science","https://www.udemy.com/course/introduccion-al-data-science/"
"2022-09-17","Desembarcando en R","https://www.udemy.com/course/desembarcando-en-r/"
"2022-09-17","Estructuras de datos en R [nivel básico] en Español","https://www.udemy.com/course/estructuras-de-datos-en-r-nivel-basico-en-espanol/"
